url,title
https://www.teamblind.com/kr/post/%EC%BD%94%EB%A6%AC%EC%95%88%EB%A6%AC-IT-%EC%A7%81%EA%B5%B0-oDKU4xn6,코리안리 IT 직군
https://www.teamblind.com/kr/post/%EA%B8%88%EC%9C%B5%ED%9A%8C%EC%82%AC-IT-vs-%EC%9D%80%ED%96%89-IT-aNuTcOAP,금융회사 IT vs 은행 IT
https://www.teamblind.com/kr/post/%EC%BD%94%EB%A6%AC%EC%95%88%EB%A6%AC-it%EC%A0%84%EC%82%B0-62hFyd4T,"코리안리 it,전산"
https://www.teamblind.com/kr/post/[%EC%A7%88%EB%AC%B8]-IT-%ED%94%84%EB%A6%AC%EB%9E%9C%EC%84%9C-TbweW2d0,[질문] IT 프리랜서
https://www.teamblind.com/kr/post/%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%9D%80-%EA%B8%88%EC%9C%B5-it-%EC%A7%81%EB%AC%B4%EC%9E%85%EC%82%AC%EC%97%90-%EB%AC%B4%EC%93%B8%EB%AA%A8-cNCuyXGw,파이썬은 금융 it 직무입사에  무쓸모?
https://www.teamblind.com/kr/post/%EB%86%8D%ED%98%91%EC%A4%91%EC%95%99%ED%9A%8C-%EB%86%8D%ED%98%91%EC%9D%80%ED%96%89-IT-XWQVC20M,농협중앙회 농협은행 IT
https://www.teamblind.com/kr/post/It-6n4JD1sT,It
https://www.teamblind.com/kr/post/%EA%B5%90%EC%A7%81%EC%9B%90%EA%B3%B5%EC%A0%9C%ED%9A%8C-%EB%86%8D%ED%98%91%EC%A4%91%EC%95%99%ED%9A%8Cit-KkSSD6fm,"교직원공제회, 농협중앙회(it)"
https://www.teamblind.com/kr/post/nh%ED%88%AC%EC%9E%90%EC%A6%9D%EA%B6%8C-IT-NEhXEcUm,nh투자증권 IT
https://www.teamblind.com/kr/post/KDB%EC%83%9D%EB%AA%85-It-XSrHveVw,KDB생명 It
https://www.teamblind.com/kr/post/HD%ED%98%84%EB%8C%80%EC%9D%BC%EB%A0%89%ED%8A%B8%EB%A6%AD-IT-VS-HD%ED%95%9C%EA%B5%AD%EC%A1%B0%EC%84%A0%ED%95%B4%EC%96%91-%EB%AF%B8%EA%B8%B0%EC%9B%90-uKu6JXC0,HD현대일렉트릭 IT VS HD한국조선해양 미기원
https://www.teamblind.com/kr/post/%EA%B8%88%EA%B0%90%EC%9B%90-IT-gqvBoCyB,금감원 IT
https://www.teamblind.com/kr/post/IT-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%A7%9D-wCwQVruy,IT 개발자 전망
https://www.teamblind.com/kr/post/%EC%BA%90%EB%A1%AF%EC%86%90%ED%95%B4%EB%B3%B4%ED%97%98-IT-%EC%A7%81%EA%B5%B0-n7C5vn8F,캐롯손해보험 IT 직군
https://www.teamblind.com/kr/post/%EC%9A%B0%EB%A6%AC%EC%9D%80%ED%96%89-IT-vs-%EC%8B%A0%ED%95%9C%EC%9D%80%ED%96%89-IT-2Nmfy0zM,우리은행 IT vs 신한은행 IT
https://www.teamblind.com/kr/post/%EA%B8%88%ED%98%B8%EC%84%9D%EC%9C%A0%ED%99%94%ED%95%99-it-nWY3JDDn,금호석유화학 it
https://www.teamblind.com/kr/post/%EA%B5%90%EB%B3%B4%EB%AC%B8%EA%B3%A0-IT-%EA%B8%B0%ED%9A%8D-%EC%A7%81%EB%AC%B4-Gpc8aFHM,교보문고 IT 기획 직무
